SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001,asin,item-name,price,estimated-referral-fee-per-item
THR-MOP-KIT_26_red,https://www.webstaurantstore.com/lavex-janitorial-26-qt-red-mop-bucket-side-press-wringer-combo/274MBCKT26RD.html,https://www.therestaurantstore.com/items/557178,No,,0,0,0,0,B0BCD2LQ18,Krollen Industrial 26 Qt. Red Mop Bucket and Side Press Wringer Combo,99.99,15.0
THR-MOP-KIT_26_green,https://www.webstaurantstore.com/lavex-janitorial-26-qt-green-mop-bucket-side-press-wringer-combo/274MBCKT26GN.html,https://www.therestaurantstore.com/items/557167,No,,0,0,0,0,B0BCDPD2FV,Krollen Industrial 26 Qt. Green Mop Bucket and Side Press Wringer Combo,99.99,15.0
THR-MOP-KIT_26_gray,https://www.webstaurantstore.com/lavex-janitorial-26-qt-grey-mop-bucket-side-press-wringer-combo/274MBCKT26GY.html,https://www.therestaurantstore.com/items/557152,No,,0,0,0,0,B0BCCNBNKH,Krollen Industrial 26 Qt. Grey Mop Bucket and Side Press Wringer Combo,99.99,15.0
THR-MOP-KIT_26_black,https://www.webstaurantstore.com/lavex-janitorial-26-qt-black-mop-bucket-side-press-wringer-combo/274MBCKT26BK.html,https://www.therestaurantstore.com/items/557171,No,,0,0,0,0,B0BCC53KJW,Krollen Industrial 26 Qt. Black Mop Bucket and Side Press Wringer Combo,99.99,15.0
THR-MOP-KIT_26_blue,https://www.webstaurantstore.com/lavex-janitorial-26-qt-blue-mop-bucket-side-press-wringer-combo/274MBCKT26BL.html,https://www.therestaurantstore.com/items/557200,No,,0,0,0,0,B0BCCKZKB2,Krollen Industrial 26 Qt. Blue Mop Bucket and Side Press Wringer Combo,99.99,15.0
THR-MOP-KIT_35_yellow,https://www.webstaurantstore.com/lavex-janitorial-35-qt-yellow-mop-bucket-side-press-wringer-combo/274MOPBCKTYE.html,https://www.therestaurantstore.com/items/44682,No,,0,0,0,0,B0BCCC97ZG,Krollen Industrial 35 Qt. Yellow Mop Bucket & Side Press Wringer Combo,114.99,17.25
THR-MOP-KIT_35_red,https://www.webstaurantstore.com/lavex-janitorial-35-qt-red-mop-bucket-side-press-wringer-combo/274MOPBCKTRD.html,https://www.therestaurantstore.com/items/29344,No,,0,0,0,0,B0BCCCH1RX,Krollen Industrial 35 Qt. Red Mop Bucket & Side Press Wringer Combo,114.99,17.25
THR-MOP-KIT_35_green,https://www.webstaurantstore.com/lavex-janitorial-35-qt-green-mop-bucket-side-press-wringer-combo/274MOPBCKTGN.html,https://www.therestaurantstore.com/items/35476,No,,0,0,0,0,B0BCDHW19Q,Krollen Industrial 35 Qt. Green Mop Bucket & Side Press Wringer Combo,114.99,17.25
THR-MOP-KIT_35_gray,https://www.webstaurantstore.com/lavex-janitorial-35-qt-gray-mop-bucket-side-press-wringer-combo/274MOPBCKTGY.html,https://www.therestaurantstore.com/items/67295,No,,0,0,0,0,B0BCCSH2LS,Krollen Industrial 35 Qt. Gray Mop Bucket & Side Press Wringer Combo,114.99,17.25
THR-MOP-KIT_35_black,https://www.webstaurantstore.com/lavex-janitorial-35-qt-black-mop-bucket-side-press-wringer-combo/274MOPBCKTBK.html,https://www.therestaurantstore.com/items/200005,No,,0,0,0,0,B0BCCZ4LJQ,Krollen Industrial 35 Qt. Black Mop Bucket & Side Press Wringer Combo,114.99,17.25
THR-MOP-KIT_35_blue,https://www.webstaurantstore.com/lavex-janitorial-35-qt-blue-mop-bucket-side-press-wringer-combo/274MOPBCKTBL.html,https://www.therestaurantstore.com/items/3774,No,,0,0,0,0,B0BCDLG95H,Krollen Industrial 35 Qt. Blue Mop Bucket & Side Press Wringer Combo,114.99,17.25
THR-MOP-KIT_35_brown,https://www.webstaurantstore.com/lavex-janitorial-35-qt-brown-mop-bucket-side-press-wringer-combo/274MOPBCKTBR.html,https://www.therestaurantstore.com/items/64176,No,,0,0,0,0,B0BCCSDLXW,Krollen Industrial 35 Qt. Brown Mop Bucket & Side Press Wringer Combo,114.99,17.25
THR-OUTDOOR-COOLER-0001_stationary_beige,https://www.webstaurantstore.com/catergator-ccg20b-beige-20-qt-round-rotomolded-extreme-outdoor-cooler-ice-chest/215RCCG20B.html,https://www.therestaurantstore.com/items/518433,No,,0,0,0,0,B0B7RXQLLZ,Krollen Industrial Beige 20 Qt. Round Rotomolded Extreme Outdoor Cooler / Ice Chest,124.99,18.75
THR-OUTDOOR-COOLER-0001_stationary_camo,https://www.webstaurantstore.com/catergator-rccg20cam-camouflage-20-qt-round-rotomolded-extreme-outdoor-cooler-ice-chest/215RCCG20CAM.html,https://www.therestaurantstore.com/items/519718,No,,0,0,0,0,B0B7RV3NPB,Krollen Industrial Camouflage 20 Qt. Round Rotomolded Extreme Outdoor Cooler / Ice Chest,124.99,18.75
THR-OUTDOOR-COOLER-0001_stationary_green,https://www.webstaurantstore.com/catergator-ccg20hg-green-20-qt-round-rotomolded-extreme-outdoor-cooler-ice-chest/215RCCG20HG.html,https://www.therestaurantstore.com/items/518536,No,,0,0,0,0,B0B7RYD18B,Krollen Industrial Green 20 Qt. Round Rotomolded Extreme Outdoor Cooler / Ice Chest,104.99,15.75
THR-OUTDOOR-COOLER-0002_stationary_camo,https://www.webstaurantstore.com/catergator-cg20camo-camouflage-20-qt-rotomolded-extreme-outdoor-cooler-ice-chest/215CG20CAMO.html,https://www.therestaurantstore.com/items/519985,No,,0,0,0,0,B0B7RWG697,Krollen Industrial Camouflage 20 Qt. Rotomolded Extreme Outdoor Cooler / Ice Chest,124.99,18.75
THR-OUTDOOR-COOLER-0002_stationary_sea,https://www.webstaurantstore.com/catergator-cg20sf-seafoam-20-qt-rotomolded-extreme-outdoor-cooler-ice-chest/215CG20SF.html,https://www.therestaurantstore.com/items/462109,No,,0,0,0,0,B0B7RYY4NZ,Krollen Industrial Seafoam 20 Qt. Rotomolded Extreme Outdoor Cooler / Ice Chest,124.99,18.75
THR-OUTDOOR-COOLER-0003_mobile_beige,https://www.webstaurantstore.com/catergator-cg45spbw-beige-45-qt-mobile-rotomolded-extreme-outdoor-cooler-ice-chest/215CG45SPBW.html,https://www.therestaurantstore.com/items/567868,No,,0,0,0,0,B0B7RWJR5Y,Krollen Industrial Beige 45 Qt. Mobile Rotomolded Extreme Outdoor Cooler / Ice Chest,224.99,33.75
THR-OUTDOOR-COOLER-0003_mobile_sea,webstaurantstore.com/catergator-cg45sfw-seafoam-47-5-qt-mobile-rotomolded-extreme-outdoor-cooler-ice-chest/215CG45SFW.html,https://www.therestaurantstore.com/items/549651,No,,0,0,0,0,B0B7RWZ53F,Krollen Industrial Seafoam 45 Qt. Mobile Rotomolded Extreme Outdoor Cooler / Ice Chest,224.99,33.75
THR-OUTDOOR-COOLER-0003_mobile_tan,https://www.webstaurantstore.com/catergator-cg45tanw-tan-45-qt-mobile-rotomolded-extreme-outdoor-cooler-ice-chest/215CG45TANW.html,https://www.therestaurantstore.com/items/549621,No,,0,0,0,0,B0B7RWGWJ1,Krollen Industrial Tan 45 Qt. Mobile Rotomolded Extreme Outdoor Cooler / Ice Chest,224.99,33.75
THR-OUTDOOR-COOLER-0003_mobile_white,https://www.webstaurantstore.com/catergator-cg45whw-white-45-qt-mobile-rotomolded-extreme-outdoor-cooler-ice-chest/215CG45WHW.html,https://www.therestaurantstore.com/items/549634,No,,0,0,0,0,B0B7RVD8J2,Krollen Industrial White 45 Qt. Mobile Rotomolded Extreme Outdoor Cooler / Ice Chest,224.99,33.75
THR-OUTDOOR-COOLER-0003_stationary_beige,https://www.webstaurantstore.com/catergator-cg45spb-beige-45-qt-rotomolded-extreme-outdoor-cooler-ice-chest/215CG45SPB.html,https://www.therestaurantstore.com/items/518497,No,,0,0,0,0,B0B7RWJXYZ,Krollen Industrial Beige 45 Qt. Rotomolded Extreme Outdoor Cooler / Ice Chest,184.99,27.75
